run:
[50	4	0.6	0.543	11.27	0.9849	7.21	1.5631	7.89	1.4284]
[50	4	0.65	0.6	12.77	0.9875	7.91	1.6144	8.85	1.4429]
[50	4	0.7	0.6572	14.82	0.9926	8.96	1.654	9.86	1.503]
[50	4	0.75	0.7143	18.03	0.9978	10.37	1.7387	11.2	1.6098]
[50	4	0.8	0.7714	21.37	0.9986	11.99	1.7823	13.19	1.6202]
[50	4	0.85	0.8286	26.22	1.0	14.64	1.791	16.18	1.6205]
[50	4	0.9	0.8857	33.2	1.0	18.92	1.7548	20.4	1.6275]
[50	4	0.95	0.9429	40.8	1.0	26.89	1.5173	28.15	1.4494]
[50	5	0.05	0.011	3.81	1.0	2.01	1.8955	2.89	1.3183]
[50	5	0.1	0.0387	5.72	1.0	2.64	2.1667	3.2	1.7875]
[50	5	0.15	0.0774	6.71	0.9985	3.05	2.2	3.75	1.7893]
[50	5	0.2	0.123	6.96	1.0	3.42	2.0351	4.03	1.727]
[50	5	0.25	0.1729	6.91	0.9971	3.87	1.7855	4.45	1.5528]
[50	5	0.3	0.2254	6.8	0.9824	4.17	1.6307	4.75	1.4316]
[50	5	0.35	0.2793	6.95	0.9727	4.63	1.5011	5.16	1.3469]
[50	5	0.4	0.334	7.28	0.9835	5.09	1.4303	5.59	1.3023]
[50	5	0.45	0.3892	7.83	0.977	5.5	1.4236	5.92	1.3226]
[50	5	0.5	0.4446	8.53	0.9625	6.04	1.4123	6.49	1.3143]
[50	5	0.55	0.5	9.5	0.9811	6.53	1.4548	7.21	1.3176]
[50	5	0.6	0.5556	10.3	0.9835	7.38	1.3957	7.85	1.3121]
[50	5	0.65	0.6111	11.54	0.9827	8.06	1.4318	8.82	1.3084]
[50	5	0.7	0.6667	13.7	0.9927	9.01	1.5205	9.82	1.3951]
[50	5	0.75	0.7222	16.29	0.9975	10.57	1.5412	11.24	1.4493]
[50	5	0.8	0.7778	19.25	0.9969	12.2	1.5779	13.23	1.455]
[50	5	0.85	0.8333	23.78	0.9996	15.04	1.5811	15.97	1.489]
[50	5	0.9	0.8889	30.47	1.0	19.16	1.5903	20.45	1.49]
[50	5	0.95	0.9444	38.95	1.0	27.11	1.4367	27.83	1.3996]
[50	6	0.05	0.0128	3.93	1.0	2.02	1.9455	2.87	1.3693]
[50	6	0.1	0.0439	5.6	1.0	2.77	2.0217	3.2	1.75]
[50	6	0.15	0.0857	6.48	1.0	3.1	2.0903	3.68	1.7609]
[50	6	0.2	0.1335	6.46	0.9954	3.6	1.7944	4.02	1.607]
[50	6	0.25	0.1847	6.19	0.9855	4.02	1.5398	4.41	1.4036]
[50	6	0.3	0.2376	6.17	0.9692	4.34	1.4217	4.76	1.2962]
[50	6	0.35	0.2914	6.46	0.9659	4.75	1.36	5.05	1.2792]
[50	6	0.4	0.3457	6.75	0.96	5.21	1.2956	5.58	1.2097]
[50	6	0.45	0.4001	7.45	0.9611	5.54	1.3448	5.89	1.2649]
[50	6	0.5	0.4546	8.13	0.9619	6.15	1.322	6.64	1.2244]
[50	6	0.55	0.5091	8.6	0.9535	6.61	1.3011	7.02	1.2251]
[50	6	0.6	0.5636	9.93	0.9718	7.4	1.3419	7.97	1.2459]
[50	6	0.65	0.6182	10.83	0.9723	8.31	1.3032	8.96	1.2087]
[50	6	0.7	0.6727	13.04	0.9854	9.22	1.4143	9.96	1.3092]
[50	6	0.75	0.7273	14.85	0.9933	10.34	1.4362	11.16	1.3306]
[50	6	0.8	0.7818	18.04	0.9972	12.48	1.4455	13.16	1.3708]
[50	6	0.85	0.8364	22.02	0.9991	15.24	1.4449	16.3	1.3509]
[50	6	0.9	0.8909	28.2	1.0	19.36	1.4566	20.17	1.3981]
[50	6	0.95	0.9455	37.46	1.0	27.09	1.3828	28.04	1.3359]
[50	7	0.05	0.0144	4.13	0.9976	2.02	2.0446	2.84	1.4542]
[50	7	0.1	0.0484	5.5	1.0	2.89	1.9031	3.22	1.7081]
[50	7	0.15	0.0925	6.0	0.9983	3.13	1.9169	3.71	1.6173]
[50	7	0.2	0.1418	5.89	0.9966	3.62	1.6271	4.01	1.4688]
[50	7	0.25	0.1937	5.81	0.9759	4.03	1.4417	4.44	1.3086]
[50	7	0.3	0.2467	5.87	0.9523	4.43	1.3251	4.87	1.2053]
[50	7	0.35	0.3002	6.18	0.9498	4.79	1.2902	5.17	1.1954]
